Species,above.median_total,ED.med,EDGE.med,TBL.med,TBL%,RL.cat
CAPE&Erica_cavartica,69,0.0617,0.0153,0.0536,86.8%,
CAPE&Erica_umbelliflora,70,0.3006,0.0153,0.2750,91.5%,LC
TEA&Erica_dracomontana,70,0.1043,0.0153,0.1010,96.8%,
CAPE&Erica_bruniifolia_var._subglabra,66,0.0637,0.0153,0.0609,95.5%,
CAPE&Erica_comata,60,0.0464,0.0150,0.0463,99.7%,
CAPE&Erica_ignita,62,0.0672,0.0150,0.0625,93.0%,VU
CAPE&Erica_latifolia,62,0.0819,0.0149,0.0814,99.4%,
CAPE&Erica_limosa,62,0.0654,0.0149,0.0588,89.8%,VU
CAPE&Erica_muscosa,75,0.3578,0.0148,0.3335,93.2%,LC
TEA&Erica_alopecurus_var._glabriflora,73,0.3366,0.0146,0.2363,70.2%,LC
CAPE&Erica_emarginata,62,0.0599,0.0146,0.0553,92.3%,
CAPE&Erica_triphylla,62,0.0611,0.0146,0.0535,87.5%,
CAPE&Erica_leptantha,59,0.0690,0.0146,0.0657,95.1%,
CAPE&Erica_cameronii,70,0.3548,0.0146,0.2666,75.1%,LC
CAPE&Erica_esteriana_ssp._esteriana,74,0.3109,0.0145,0.2881,92.7%,LC
CAPE&Erica_sacciflora,66,0.0159,0.0143,0.0159,100.0%,CR
CAPE&Erica_williamsiorum,59,0.0634,0.0143,0.0605,95.5%,VU
CAPE&Erica_shannonea,72,0.0645,0.0141,0.0524,81.1%,
CAPE&Erica_sicifolia,64,0.0569,0.0141,0.0546,95.9%,VU
CAPE&Erica_caffrorum_var._aristula,63,0.0477,0.0140,0.0289,60.6%,
CAPE&Erica_procaviana,65,0.0591,0.0140,0.0494,83.7%,
TEA&Erica_tysonii_var._krookii,64,0.0620,0.0140,0.0565,91.1%,
CAPE&Erica_auriculata,60,0.0476,0.0138,0.0448,94.0%,
TEA&Erica_aspalathifolia_var._aspalathifolia,70,0.3312,0.0137,0.2192,66.2%,LC
CAPE&Erica_annectens,72,0.0508,0.0137,0.0409,80.7%,VU
CAPE&Erica_chloroloma,67,0.0657,0.0136,0.0602,91.6%,VU
CAPE&Erica_fimbriata,70,0.2813,0.0135,0.2755,97.9%,LC
CAPE&Erica_flanaganii,68,0.0689,0.0133,0.0689,100.0%,
CAPE&Erica_recurvata,67,0.0142,0.0133,0.0133,93.4%,CR
CAPE&Erica_coruscans,63,0.0615,0.0133,0.0544,88.5%,
CAPE&Erica_octonaria,57,0.0564,0.0133,0.0456,80.8%,
CAPE&Erica_trivialis,61,0.0591,0.0133,0.0500,84.7%,
CAPE&Erica_chlamydiflora,65,0.0605,0.0131,0.0536,88.6%,
CAPE&Erica_exleeana,71,0.2947,0.0131,0.2861,97.1%,LC
CAPE&Erica_rupicola,71,0.0670,0.0130,0.0642,95.9%,
CAPE&Erica_vernicosa,59,0.2365,0.0129,0.2336,98.8%,LC
CAPE&Erica_esteriana_ssp._swartbergensis,70,0.3050,0.0129,0.2881,94.5%,LC
CAPE&Erica_euryphylla,63,0.0574,0.0129,0.0541,94.2%,VU
CAPE&Erica_stokoeanthus,71,0.0534,0.0129,0.0496,93.0%,VU
CAPE&Erica_magnisylvae,71,0.0577,0.0129,0.0541,93.7%,VU
CAPE&Erica_bruniifolia_var._barbigera,69,0.0485,0.0129,0.0461,95.1%,
CAPE&Erica_abelii,65,0.0538,0.0127,0.0506,94.0%,VU
CAPE&Erica_oresigena,61,0.2149,0.0127,0.2149,100.0%,LC
CAPE&Erica_tubercularis,58,0.0466,0.0127,0.0419,89.9%,
CAPE&Erica_chrysocodon,67,0.0148,0.0127,0.0126,85.6%,CR
CAPE&Erica_cubica_var._cubica,63,0.2483,0.0124,0.2400,96.7%,LC
CAPE&Erica_crateriformis,65,0.0503,0.0123,0.0496,98.7%,
CAPE&Erica_ostiaria,56,0.0535,0.0122,0.0499,93.2%,
CAPE&Erica_desmantha_var._urceolata,69,0.0793,0.0122,0.0756,95.4%,
CAPE&Erica_melanthera,64,0.2641,0.0122,0.1690,64.0%,LC
CAPE&Erica_flavicoma,58,0.0471,0.0122,0.0382,81.1%,
CAPE&Erica_chiroptera,64,0.2454,0.0121,0.1838,74.9%,LC
CAPE&Erica_depressa,65,0.2363,0.0121,0.1180,49.9%,LC
CAPE&Erica_brevifolia,65,0.2583,0.0119,0.2410,93.3%,LC
CAPE&Erica_sonderiana,64,0.2376,0.0118,0.2376,100.0%,LC
CAPE&Erica_aghillana_var._latifolia,54,0.0400,0.0118,0.0197,49.2%,
CAPE&Erica_obliqua,66,0.2437,0.0117,0.2194,90.0%,LC
CAPE&Erica_bruniifolia_var._stellata,58,0.0536,0.0117,0.0484,90.3%,
CAPE&Erica_caledonica,67,0.0429,0.0117,0.0407,94.9%,VU
CAPE&Erica_amphigena,63,0.0463,0.0117,0.0434,93.6%,VU
CAPE&Erica_cumuliflora,72,0.2380,0.0116,0.2332,98.0%,LC
CAPE&Erica_pogonanthera,65,0.0630,0.0115,0.0617,97.9%,
CAPE&Erica_nemorosa,66,0.2666,0.0115,0.2273,85.3%,LC
CAPE&Erica_truncata,59,0.0456,0.0114,0.0434,95.2%,
CAPE&Erica_simulans_var._trivialis,60,0.2439,0.0114,0.1974,81.0%,LC
CAPE&Erica_macilenta,64,0.0461,0.0114,0.0440,95.5%,
CAPE&Erica_cruenta,73,0.2943,0.0114,0.2943,100.0%,LC
TEA&Erica_wyliei,63,0.2228,0.0113,0.2028,91.0%,LC
CAPE&Erica_chamissonis_var._chamissonis,68,0.2600,0.0111,0.2403,92.4%,LC
CAPE&Erica_guthriei_var._strictior,52,0.0420,0.0111,0.0399,94.9%,
TEA&Erica_oatesii_var._latifolia,65,0.0580,0.0111,0.0558,96.3%,
CAPE&Erica_binaria,64,0.0461,0.0111,0.0460,99.8%,VU
CAPE&Erica_caprina,65,0.0505,0.0111,0.0504,99.8%,VU
CAPE&Erica_steinbergiana_var._abbreviata,65,0.0389,0.0110,0.0368,94.5%,
CAPE&Erica_navigatoris,59,0.0511,0.0109,0.0399,78.1%,VU
CAPE&Erica_anguliger,65,0.2207,0.0109,0.2207,100.0%,LC
CAPE&Erica_turrisbabylonica,62,0.0439,0.0108,0.0404,91.9%,VU
CAPE&Erica_laevigata_var._elongata,57,0.0316,0.0108,0.0226,71.6%,
CAPE&Erica_blancheana,65,0.0460,0.0108,0.0435,94.6%,
TEA&Erica_cooperi_var._missionis,58,0.0500,0.0107,0.0474,94.8%,
CAPE&Erica_condensata_var._condensata,67,0.2901,0.0106,0.1982,68.3%,LC
CAPE&Erica_canaliculata,63,0.2363,0.0106,0.2097,88.8%,LC
CAPE&Erica_nivea,58,0.0591,0.0105,0.0536,90.7%,
CAPE&Erica_petrophila,65,0.2015,0.0105,0.1994,99.0%,LC
CAPE&Erica_rehmii,59,0.0442,0.0103,0.0426,96.3%,VU
CAPE&Erica_macroloma,69,0.2275,0.0103,0.2135,93.8%,LC
CAPE&Erica_colorans,62,0.0406,0.0103,0.0402,98.9%,VU
CAPE&Erica_laevigata_var._laevigata,53,0.0332,0.0103,0.0226,68.0%,
CAPE&Erica_eglandulosa,61,0.0535,0.0103,0.0455,85.2%,
TEA&Erica_wildii,57,0.2028,0.0101,0.1757,86.6%,LC
CAPE&Erica_maximiliani,60,0.2084,0.0100,0.1981,95.0%,LC
CAPE&Erica_schlechteri,58,0.0505,0.0100,0.0485,96.0%,
CAPE&Erica_florifera,59,0.1895,0.0099,0.1883,99.3%,LC
CAPE&Erica_consobrina,60,0.0706,0.0099,0.0605,85.6%,
CAPE&Erica_chamissonis_var._polyantha,64,0.2673,0.0099,0.2354,88.1%,LC
CAPE&Erica_micrandra,54,0.0505,0.0099,0.0445,88.2%,
CAPE&Erica_pulchelliflora,62,0.0614,0.0099,0.0597,97.3%,
TEA&Erica_albospicata,57,0.1985,0.0099,0.1672,84.2%,LC
CAPE&Erica_oblongiflora,62,0.0204,0.0099,0.0185,91.1%,EN
CAPE&Erica_leucodesmia,60,0.2049,0.0098,0.2024,98.8%,LC
CAPE&Erica_petricola,68,0.2140,0.0097,0.2027,94.7%,LC
CAPE&Erica_tegulifolia,64,0.1921,0.0097,0.1686,87.8%,LC
CAPE&Erica_lateriflora,60,0.0432,0.0097,0.0415,96.1%,VU
CAPE&Erica_ecklonii,51,0.0162,0.0097,0.0154,95.0%,EN
CAPE&Erica_heterophylla,61,0.0600,0.0096,0.0583,97.2%,
CAPE&Erica_caterviflora_var._glabrata,56,0.0113,0.0096,0.0065,57.2%,CR
CAPE&Erica_floccifera,61,0.0387,0.0095,0.0335,86.7%,VU
CAPE&Erica_heleogena,60,0.0108,0.0095,0.0050,46.1%,CR
CAPE&Erica_hanekomii,65,0.0208,0.0094,0.0208,100.0%,EN
CAPE&Erica_gnaphaloides,63,0.2088,0.0094,0.1914,91.6%,LC
CAPE&Erica_odorata,64,0.2165,0.0092,0.2124,98.1%,LC
TEA&Erica_revoluta,53,0.0346,0.0092,0.0305,87.9%,
CAPE&Erica_insolitanthera,62,0.0459,0.0092,0.0431,93.8%,VU
CAPE&Erica_pilosiflora_ssp._purpurea,53,0.0296,0.0091,0.0238,80.5%,VU
CAPE&Erica_genistifolia,61,0.1865,0.0090,0.1843,98.8%,LC
CAPE&Erica_regerminans,61,0.2049,0.0090,0.2049,100.0%,LC
CAPE&Erica_lucida_var._pauciflora,55,0.0285,0.0089,0.0275,96.7%,
CAPE&Erica_palliiflora,68,0.2190,0.0089,0.2059,94.0%,LC
CAPE&Erica_cubica_var._coronifera,67,0.2172,0.0089,0.2127,97.9%,LC
CAPE&Erica_glutinosa_var._parviflora,63,0.1740,0.0087,0.1696,97.5%,LC
CAPE&Erica_viridimontana_ssp._nivicola,53,0.0329,0.0086,0.0169,51.4%,
CAPE&Erica_simulans_var._simulans,57,0.1776,0.0086,0.1607,90.5%,LC
CAPE&Erica_calcareophila,53,0.0354,0.0085,0.0308,86.8%,VU
CAPE&Erica_articularis_var._meyeriana,55,0.0284,0.0085,0.0275,96.9%,
CAPE&Erica_natalitia_var._robusta,54,0.0285,0.0085,0.0273,96.0%,
CAPE&Erica_cubica_var._natalensis,61,0.2539,0.0084,0.2478,97.6%,LC
CAPE&Erica_flocciflora,56,0.0776,0.0084,0.0582,75.0%,NT
TEA&Erica_lanceolifera,49,0.0320,0.0082,0.0201,62.9%,VU
CAPE&Erica_pilosiflora_ssp._pilosiflora,54,0.0314,0.0082,0.0238,75.9%,VU
CAPE&Erica_racemosa_var._aristata,50,0.0407,0.0082,0.0377,92.7%,
CAPE&Erica_peltata,56,0.2096,0.0080,0.2043,97.5%,LC
CAPE&Erica_intonsa,58,0.0361,0.0080,0.0351,97.0%,
CAPE&Erica_turbiniflora_var._turbiniflora,53,0.0370,0.0080,0.0278,75.3%,
CAPE&Erica_halicacaba,52,0.2001,0.0079,0.1994,99.7%,LC
CAPE&Erica_strigosa,59,0.1362,0.0079,0.1340,98.4%,LC
CAPE&Erica_villosa,55,0.1786,0.0079,0.1764,98.8%,LC
CAPE&Erica_aristata_var._turrisbabylonica,58,0.0302,0.0079,0.0269,89.1%,
CAPE&Erica_blesbergensis,51,0.0530,0.0079,0.0431,81.3%,
CAPE&Erica_rubiginosa_var._rubiginosa,54,0.1708,0.0079,0.1314,77.0%,LC
CAPE&Erica_bruniades,53,0.2040,0.0079,0.1907,93.4%,LC
CAPE&Erica_duthieae,58,0.1344,0.0077,0.1323,98.4%,LC
CAPE&Erica_glutinosa_var._glutinosa,62,0.1777,0.0076,0.1696,95.4%,LC
CAPE&Erica_zitzikammensis_var._glutinosa,55,0.0245,0.0075,0.0195,79.5%,
CAPE&Erica_hibbertia,50,0.0086,0.0075,0.0084,97.2%,CR
CAPE&Erica_caterviflora_var._caterviflora,46,0.0140,0.0074,0.0065,46.4%,EN
CAPE&Erica_turbiniflora_var._aristata,54,0.0446,0.0074,0.0278,62.4%,
CAPE&Erica_demissa,53,0.1720,0.0074,0.1590,92.4%,LC
CAPE&Erica_curviflora_var._diffusa,53,0.0385,0.0074,0.0334,86.6%,
CAPE&Erica_plukenetii_ssp._lineata,50,0.0592,0.0074,0.0573,96.8%,NT
CAPE&Erica_quadrifida,54,0.1569,0.0073,0.1560,99.4%,LC
CAPE&Erica_arenaria,50,0.0586,0.0073,0.0459,78.2%,NT
CAPE&Erica_salax,57,0.0493,0.0072,0.0421,85.6%,
CAPE&Erica_flexistyla,53,0.0136,0.0072,0.0135,98.8%,EN
CAPE&Erica_parilis_var._parilis,51,0.1318,0.0072,0.1007,76.4%,LC
CAPE&Erica_hendricksei,50,0.0291,0.0072,0.0266,91.3%,VU
CAPE&Erica_nana,57,0.0307,0.0072,0.0298,97.0%,VU
CAPE&Erica_arcuata,57,0.1444,0.0071,0.1401,97.0%,LC
CAPE&Erica_bolusanthus,56,0.1493,0.0071,0.1461,97.9%,LC
CAPE&Erica_latiflora,48,0.0078,0.0071,0.0075,96.0%,CR
CAPE&Erica_jananthus,57,0.0372,0.0070,0.0369,99.4%,VU
TEA&Erica_frigida,45,0.1598,0.0070,0.1008,63.0%,LC
CAPE&Erica_affinis,53,0.0513,0.0070,0.0468,91.3%,NT
CAPE&Erica_albens_var._longiflora,51,0.0455,0.0070,0.0435,95.8%,
CAPE&Erica_fascicularis_var._fascicularis,54,0.1741,0.0070,0.1203,69.1%,LC
CAPE&Erica_banksia_ssp._purpurea,48,0.1383,0.0069,0.1334,96.4%,LC
CAPE&Erica_venustiflora_ssp._venustiflora,46,0.0141,0.0069,0.0107,76.1%,EN
CAPE&Erica_tradouwensis,49,0.1586,0.0069,0.1579,99.6%,LC
CAPE&Erica_parviflora_var._hispida,48,0.0251,0.0068,0.0224,89.4%,
CAPE&Erica_squarrosa,45,0.0312,0.0068,0.0292,93.7%,VU
CAPE&Erica_physodes,47,0.1648,0.0068,0.1481,89.9%,LC
CAPE&Erica_coventrya,53,0.0243,0.0068,0.0235,96.6%,
CAPE&Erica_chionophila,50,0.1573,0.0068,0.1458,92.7%,LC
CAPE&Erica_zitzikammensis_var._zitzikammensis,53,0.0267,0.0067,0.0195,72.8%,
CAPE&Erica_mundii,55,0.0521,0.0067,0.0448,86.0%,
CAPE&Erica_penduliflora,51,0.0136,0.0067,0.0129,94.9%,EN
CAPE&Erica_interrupta,51,0.0075,0.0067,0.0075,99.7%,CR
CAPE&Erica_nudiflora,47,0.1263,0.0066,0.1120,88.6%,LC
CAPE&Erica_velitaris_var._velitaris,51,0.0265,0.0066,0.0264,99.6%,
CAPE&Erica_dianthifolia,56,0.1599,0.0066,0.1599,100.0%,LC
TEA&Erica_anomala,52,0.1661,0.0065,0.1607,96.7%,LC
CAPE&Erica_sperata,59,0.1618,0.0065,0.1536,94.9%,LC
CAPE&Erica_haemastoma,50,0.0318,0.0064,0.0316,99.4%,
CAPE&Erica_urna_viridis,53,0.1627,0.0064,0.1438,88.4%,LC
CAPE&Erica_bicolor,56,0.1896,0.0064,0.1895,99.9%,LC
CAPE&Erica_salteri,47,0.0229,0.0063,0.0210,91.9%,
CAPE&Erica_ampullacea_var._obbata,49,0.0320,0.0062,0.0306,95.6%,
CAPE&Erica_banksia_ssp._banksia,53,0.1249,0.0062,0.1080,86.4%,LC
CAPE&Erica_amidae,55,0.0241,0.0062,0.0239,99.0%,VU
CAPE&Erica_angulosa,52,0.1183,0.0062,0.1024,86.5%,LC
CAPE&Erica_orculiflora,48,0.1221,0.0061,0.0933,76.4%,LC
CAPE&Erica_hispiduloides,55,0.1183,0.0061,0.1062,89.7%,LC
CAPE&Erica_polifolia_var._angustata,45,0.0242,0.0061,0.0221,91.6%,
CAPE&Erica_goatcheriana_var._petrensis,45,0.1172,0.0060,0.0897,76.5%,LC
CAPE&Erica_capillaris_var._capillaris,47,0.0142,0.0060,0.0122,86.3%,EN
CAPE&Erica_physophylla,50,0.1572,0.0059,0.1311,83.4%,LC
CAPE&Erica_sparrmanni,43,0.1286,0.0059,0.1031,80.2%,LC
CAPE&Erica_argentea_var._rigida,44,0.0241,0.0058,0.0225,93.4%,
CAPE&Erica_innovans,40,0.0110,0.0058,0.0095,86.5%,EN
CAPE&Erica_longistyla_var._appressa,54,0.0336,0.0058,0.0320,95.5%,
CAPE&Erica_lowryensis_var._glandulifera,44,0.0224,0.0057,0.0207,92.3%,
CAPE&Erica_parviflora_var._puberula,45,0.0287,0.0057,0.0248,86.4%,
CAPE&Erica_parviflora_var._exigua,49,0.0274,0.0056,0.0262,95.4%,
CAPE&Erica_malmesburiensis,46,0.0059,0.0056,0.0056,94.6%,CR
CAPE&Erica_aristata_var._parva,56,0.0344,0.0056,0.0283,82.4%,
CAPE&Erica_leucopelta_var._leucopelta,39,0.0178,0.0056,0.0172,96.6%,
CAPE&Erica_oliveri,47,0.1424,0.0055,0.1355,95.2%,LC
CAPE&Erica_kougabergensis_var._recurvifolia,48,0.0270,0.0055,0.0245,90.6%,
CAPE&Erica_bergiana_var._glabra,39,0.1234,0.0055,0.1151,93.2%,LC
CAPE&Erica_placentiflora,51,0.1401,0.0055,0.1350,96.4%,LC
CAPE&Erica_oxysepala,41,0.0194,0.0055,0.0194,99.9%,VU
CAPE&Erica_coarctata_var._coarctata,42,0.1380,0.0054,0.0959,69.5%,LC
CAPE&Erica_subcapitata,46,0.1075,0.0054,0.1064,99.0%,LC
CAPE&Erica_axillaris,46,0.1201,0.0053,0.0989,82.4%,LC
CAPE&Erica_lanuginosa,40,0.1052,0.0053,0.0991,94.2%,LC
CAPE&Erica_jacksoniana,44,0.1079,0.0051,0.0999,92.6%,LC
CAPE&Erica_leucopelta_var._luxurians,42,0.0208,0.0051,0.0180,86.6%,
CAPE&Erica_rosacea_ssp._rosacea,43,0.0994,0.0051,0.0937,94.2%,LC
CAPE&Erica_obtusata,47,0.1366,0.0051,0.1219,89.2%,LC
CAPE&Erica_hispidula_var._micrantha,52,0.0194,0.0050,0.0180,92.9%,
CAPE&Erica_sparsa_var._glandulosopedicellata,36,0.1046,0.0050,0.0971,92.8%,LC
CAPE&Erica_paludicola,42,0.0195,0.0050,0.0172,87.9%,VU
CAPE&Erica_vogelpoelii,42,0.0956,0.0050,0.0956,100.0%,LC
CAPE&Erica_keeromsbergensis,42,0.1152,0.0050,0.0998,86.7%,LC
CAPE&Erica_acuta_var._breviflora,40,0.0243,0.0050,0.0233,95.8%,
CAPE&Erica_formosa,38,0.0935,0.0050,0.0891,95.3%,LC
CAPE&Erica_lachnaeifolia,44,0.1105,0.0049,0.1082,97.9%,LC
CAPE&Erica_phaeocarpa,43,0.0978,0.0049,0.0945,96.6%,LC
CAPE&Erica_oophylla,41,0.1013,0.0049,0.0809,79.8%,LC
CAPE&Erica_atrovinosa,48,0.0215,0.0049,0.0200,93.3%,VU
CAPE&Erica_atromontana,42,0.1104,0.0049,0.1006,91.1%,LC
CAPE&Erica_abietina_ssp._diabolis,35,0.0054,0.0049,0.0052,96.3%,CR
CAPE&Erica_fastigiata_var._coventryana,35,0.0226,0.0049,0.0200,88.7%,
CAPE&Erica_triceps,43,0.0927,0.0048,0.0869,93.7%,LC
CAPE&Erica_sparsa_var._sparsa,34,0.1011,0.0048,0.0971,96.1%,LC
TEA&Erica_atherstonei,34,0.0390,0.0047,0.0308,79.0%,NT
CAPE&Erica_stagnalis_ssp._minor,45,0.0232,0.0047,0.0216,93.1%,
CAPE&Erica_omninoglabra,38,0.0938,0.0047,0.0849,90.5%,LC
CAPE&Erica_irbyana,30,0.0969,0.0046,0.0872,90.1%,LC
CAPE&Erica_bergiana_var._bergiana,38,0.1242,0.0046,0.1151,92.7%,LC
CAPE&Erica_pubescens_var._pubescens,42,0.1026,0.0046,0.0757,73.8%,LC
CAPE&Erica_magistrati,50,0.1248,0.0046,0.1199,96.1%,LC
CAPE&Erica_baccans,46,0.1351,0.0046,0.1217,90.1%,LC
CAPE&Erica_cordata_var._arachnoidea,40,0.0249,0.0045,0.0240,96.4%,
CAPE&Erica_hispidula_var._viscidula,44,0.0173,0.0045,0.0146,84.5%,
CAPE&Erica_vallis_gratiae,37,0.0967,0.0045,0.0885,91.5%,LC
CAPE&Erica_albertyniae,49,0.0212,0.0043,0.0202,95.3%,VU
CAPE&Erica_accommodata_var._subviscidula,41,0.0813,0.0043,0.0780,95.9%,LC
CAPE&Erica_curviflora_var._zeyheri,43,0.0199,0.0043,0.0157,78.5%,
TEA&Erica_pleiotricha_var._blaeriodes,41,0.0275,0.0042,0.0108,39.1%,
CAPE&Erica_venustiflora_ssp._glandulosa,38,0.0164,0.0042,0.0107,65.2%,VU
CAPE&Erica_macrophylla,37,0.1046,0.0042,0.0942,90.1%,LC
CAPE&Erica_paniculata,38,0.1004,0.0042,0.1002,99.9%,LC
CAPE&Erica_rosacea_ssp._glabrata,42,0.1018,0.0042,0.0937,92.0%,LC
CAPE&Erica_viscaria_ssp._gallorum,31,0.0049,0.0042,0.0044,90.2%,CR
CAPE&Erica_russakiana,43,0.0116,0.0042,0.0109,94.0%,
CAPE&Erica_globiceps_ssp._gracilis,42,0.0848,0.0042,0.0723,85.3%,LC
CAPE&Erica_hispidula_var._serpyllifolia,44,0.0224,0.0042,0.0172,76.7%,
CAPE&Erica_eriocephala,42,0.0844,0.0042,0.0705,83.5%,LC
CAPE&Erica_grisbrookii,37,0.1017,0.0042,0.0933,91.8%,LC
CAPE&Erica_pubigera,41,0.1015,0.0041,0.0999,98.4%,LC
CAPE&Erica_trichroma_var._trichroma,35,0.0690,0.0041,0.0514,74.5%,LC
CAPE&Erica_cristata,35,0.0792,0.0041,0.0769,97.0%,LC
CAPE&Erica_lutea,30,0.0802,0.0041,0.0771,96.1%,LC
CAPE&Erica_kirstenii,35,0.0805,0.0040,0.0770,95.7%,LC
CAPE&Erica_strigilifolia_var._strigilifolia,38,0.0922,0.0040,0.0613,66.5%,LC
CAPE&Erica_bredasiana,41,0.1015,0.0040,0.0954,94.1%,LC
CAPE&Erica_marlothii,40,0.0654,0.0040,0.0591,90.4%,LC
CAPE&Erica_saxicola,39,0.0950,0.0040,0.0908,95.5%,LC
CAPE&Erica_accommodata_var._accommodata,40,0.0823,0.0039,0.0780,94.7%,LC
CAPE&Erica_retorta,35,0.0906,0.0039,0.0906,100.0%,LC
CAPE&Erica_glauca_var._glauca,28,0.0918,0.0039,0.0859,93.5%,LC
CAPE&Erica_cubitans,34,0.0848,0.0039,0.0765,90.2%,LC
CAPE&Erica_desmantha_var._desmantha,40,0.0974,0.0039,0.0756,77.7%,LC
CAPE&Erica_oreophila,41,0.0815,0.0039,0.0807,99.0%,LC
CAPE&Erica_leucopelta_var._pubescens,33,0.0214,0.0039,0.0187,87.4%,
CAPE&Erica_amicorum,41,0.0625,0.0039,0.0596,95.4%,LC
CAPE&Erica_holosericea_var._parviflora,45,0.0167,0.0038,0.0155,92.4%,
CAPE&Erica_mucronata,33,0.0685,0.0038,0.0607,88.6%,LC
CAPE&Erica_karooica,32,0.0657,0.0038,0.0420,63.9%,LC
CAPE&Erica_costatisepala,38,0.0933,0.0038,0.0775,83.1%,LC
CAPE&Erica_suffulta,39,0.0839,0.0038,0.0718,85.5%,LC
CAPE&Erica_mitchelliensis,40,0.0892,0.0038,0.0702,78.7%,LC
CAPE&Erica_fastigiata_var._longituba,42,0.0205,0.0038,0.0195,95.4%,
CAPE&Erica_eriophoros,32,0.0127,0.0038,0.0105,82.4%,VU
CAPE&Erica_lananthera,36,0.0710,0.0037,0.0669,94.2%,LC
CAPE&Erica_toringbergensis,45,0.0283,0.0037,0.0275,97.1%,
CAPE&Erica_erinus,37,0.0160,0.0037,0.0148,92.6%,VU
CAPE&Erica_saxigena,36,0.0883,0.0037,0.0828,93.8%,LC
CAPE&Erica_bracteolaris,37,0.0905,0.0037,0.0891,98.4%,LC
CAPE&Erica_radicans_ssp._schlechteri,31,0.0066,0.0037,0.0062,95.1%,EN
CAPE&Erica_atropurpurea,44,0.1047,0.0037,0.0918,87.7%,LC
CAPE&Erica_pseudocalycina,38,0.0844,0.0037,0.0795,94.2%,LC
CAPE&Erica_trachysantha,41,0.0740,0.0036,0.0704,95.1%,LC
CAPE&Erica_lanipes,36,0.0830,0.0036,0.0719,86.7%,LC
CAPE&Erica_mauritanica,36,0.0599,0.0036,0.0582,97.2%,LC
CAPE&Erica_fastigiata_var._immaculata,38,0.0240,0.0036,0.0200,83.1%,
TEA&Erica_pleiotricha_var._pleiotricha,37,0.0219,0.0035,0.0108,49.2%,
CAPE&Erica_mira,32,0.0724,0.0035,0.0716,99.0%,LC
CAPE&Erica_chonantha,38,0.0868,0.0034,0.0693,79.9%,LC
CAPE&Erica_xanthina,31,0.0627,0.0034,0.0599,95.6%,LC
CAPE&Erica_scabriuscula,31,0.0870,0.0034,0.0808,92.9%,LC
CAPE&Erica_pudens,37,0.0700,0.0034,0.0700,100.0%,LC
CAPE&Erica_deflexa,27,0.0770,0.0034,0.0770,100.0%,LC
CAPE&Erica_anemodes,41,0.0855,0.0033,0.0702,82.1%,LC
CAPE&Erica_leucantha,38,0.0846,0.0033,0.0827,97.7%,LC
CAPE&Erica_pectinifolia_var._pectinifolia,24,0.0651,0.0033,0.0613,94.1%,LC
TEA&Erica_tysonii_var._tysonii,27,0.0789,0.0033,0.0565,71.6%,LC
CAPE&Erica_hexensis,35,0.0804,0.0033,0.0781,97.2%,LC
CAPE&Erica_cincta,38,0.0837,0.0033,0.0683,81.6%,LC
CAPE&Erica_multumbellifera,33,0.1027,0.0032,0.1013,98.6%,LC
CAPE&Erica_cygnea,34,0.0757,0.0032,0.0695,91.8%,LC
CAPE&Erica_diosmifolia,31,0.0762,0.0032,0.0760,99.7%,LC
CAPE&Erica_collina,33,0.0855,0.0032,0.0616,72.0%,LC
CAPE&Erica_cyrilliflora,33,0.0147,0.0032,0.0055,37.7%,VU
CAPE&Erica_trichadenia,36,0.0611,0.0031,0.0569,93.2%,LC
CAPE&Erica_dodii,23,0.0680,0.0031,0.0619,91.1%,LC
CAPE&Erica_taxifolia,36,0.0813,0.0031,0.0761,93.6%,LC
CAPE&Erica_polycoma,30,0.0657,0.0031,0.0657,100.0%,LC
CAPE&Erica_prolata,33,0.0062,0.0030,0.0062,99.5%,EN
CAPE&Erica_sexfaria,32,0.0619,0.0030,0.0615,99.4%,LC
CAPE&Erica_junonia_var._junonia,39,0.0136,0.0030,0.0110,80.8%,VU
CAPE&Erica_glandulosa_ssp._bondiae,30,0.0645,0.0030,0.0487,75.4%,LC
CAPE&Erica_cedromontana,38,0.0953,0.0030,0.0860,90.2%,LC
CAPE&Erica_petraea,42,0.0536,0.0030,0.0439,81.9%,LC
CAPE&Erica_pilaarkopensis,32,0.0880,0.0030,0.0826,93.9%,LC
CAPE&Erica_inflaticalyx,40,0.0963,0.0029,0.0780,81.0%,LC
CAPE&Erica_myriocodon,36,0.0672,0.0029,0.0654,97.2%,LC
TEA&Erica_oatesii_var._oatesii,26,0.0779,0.0029,0.0558,71.6%,LC
CAPE&Erica_albens_var._albens,31,0.0489,0.0029,0.0435,89.0%,LC
CAPE&Erica_boucheri,37,0.0861,0.0029,0.0861,100.0%,LC
CAPE&Erica_coronanthera,36,0.0547,0.0029,0.0493,90.1%,LC
CAPE&Erica_lycopodiastrum,38,0.0554,0.0029,0.0535,96.6%,LC
CAPE&Erica_setacea,28,0.0546,0.0029,0.0537,98.3%,LC
CAPE&Erica_argyraea,32,0.0587,0.0029,0.0582,99.1%,LC
CAPE&Erica_hebdomadalis,32,0.0667,0.0029,0.0573,85.9%,LC
CAPE&Erica_granulosa,34,0.0668,0.0029,0.0600,89.9%,LC
CAPE&Erica_vanheurckii,42,0.0675,0.0028,0.0614,90.9%,LC
CAPE&Erica_pellucida,36,0.0808,0.0028,0.0778,96.3%,LC
